제품명,성분명,코드
콜바스타에프정 500mg/PTP,아세트아미노펜|수도에페드린염산염|클로르페니라민말레산염,K-013592
베스타제포르테정 15mg/PTP,비오디아스타제1000|리파제AP6|뉴라제,K-002169
디펜코정 500mg/PTP,아세트아미노펜|슈도에페드린염산염|클로르페니라민말레산염,K-013474
우먼스타이레놀정 500mg/PTP,아세트아미노펜|파마브롬,K-012249
무스판정 500mg/PTP,부틸스코폴라민브롬화물|아세트아미노펜,K-005849
타세놀정500mg/PTP,아세트아미노펜,K-036982
에카린에이정 200mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-029980
젠텔정400mg/PTP,알벤다졸,K-002074
미다펜정 300mg/PTP,아세트아미노펜|클로르족사존,K-010955
콘택골드캡슐 10mg/PTP,클로르페니라민말레산염|벨라돈나총알칼로이드|페닐레프린염산염,K-019553
벤티브정 300mg/PTP,벤포티아민|피리독신염산염,K-050539
펜콜정 50mg/병,아세트아미노펜|에페드린염산염|카페인무수물,K-031178
리렉사정 300mg/PTP,클로르족사존|아세트아미노펜,K-017587
원더칼-디츄어블정,콜레칼시페롤농축분말|구연산칼슘,K-026993
,,K-013326
복합탈시드츄어블정 259mg/PTP,히드로탈시트|글루타민|수용성아줄렌,K-008900
모아코정 500mg/PTP,아세트아미노펜|슈도에페드린염산염|클로르페니라민말레산염,K-011617
애니펜정 150mg,덱시부프로펜,K-010528
시노카엔캡슐 0.13mg/PTP,벨라돈나총알카로이드|클로르페니라민말레산염|페닐레프린염산염,K-011015
베노라제정 400mg/PTP,배농산급탕건조엑스,K-000721
마이칼디정,시트르산칼슘수화물|콜레칼시페롤과립|시아노코발라민|폴산,K-025200
나프롱정(나프록센나트륨),나프록센나트륨,K-007317
마그오캡슐500mg/병,산화마그네슘,K-007914
아페린정 25mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-015537
레가론캡슐140(카르두스마리아누스엑스산),밀크시슬건조엑스산,K-007144
스카이정 10mg/PTP,부틸스코폴라민브롬화물|아세트아미노펜,K-010944
아세린정 25mg/병,에페드린염산염|카페인무수물|아세트아미노펜,K-031179
브이멜라인장용정(브로멜라인),브로멜라인,K-050105
파이네신캡슐 490mg/PTP,은교산건조엑스,K-011546
알마겔정(알마게이트)(수출명:유한가스트라겔정),알마게이트,K-001866
베니톨정(미세정제플라보노이드분획물),미세정제플라보노이드분획물,K-004744
